symbol,coingecko_id,name,primary_narrative,secondary_narratives,include_in_score,notes
BNB,binancecoin,BNB,Exchange Tokens,Layer 1,TRUE,Assigned to Exchange Tokens because exchange ecosystem is the cleaner primary narrative.
OKB,okb,OKB,Exchange Tokens,CEX utility,TRUE,Centralized exchange ecosystem token.
LEO,leo-token,UNUS SED LEO,Exchange Tokens,CEX utility,TRUE,Keep leo-token. CoinGecko name is LEO Token; classified as Exchange Tokens.
CRO,crypto-com-chain,Cronos,Exchange Tokens,Layer 1; exchange ecosystem,TRUE,Cronos display name; CoinGecko API ID is crypto-com-chain.
KCS,kucoin-shares,KuCoin Token,Exchange Tokens,CEX utility,TRUE,Keep kucoin-shares. CoinGecko name is KuCoin; symbol KCS identifies the exchange token.
GT,gatechain-token,GateToken,Exchange Tokens,CEX utility; Layer 1,TRUE,Keep gatechain-token. CoinGecko name is Gate; API ID remains gatechain-token.
MX,mx-token,MX Token,Exchange Tokens,CEX utility,TRUE,Keep mx-token. CoinGecko name is MX; classified as MEXC exchange token.
BGB,bitget-token,Bitget Token,Exchange Tokens,CEX utility,TRUE,Exchange ecosystem proxy.
WBT,whitebit,WhiteBIT Coin,Exchange Tokens,CEX utility,TRUE,CoinGecko slug verified as `whitebit`.
HYPE,hyperliquid,Hyperliquid,Exchange Tokens,DeFi; Layer 1; derivatives,TRUE,Assigned to Exchange Tokens because venue/derivatives activity is the main market-structure signal.
